feature_family,catalog_link,primary_source,source_timestamp_semantics,classification,point_in_time_replay_possible,required_provider_fields,required_cadence,required_max_latency,evidence_needed_before_live,notes
transition_recoveries_turnovers,feature_catalog:transition / cap:recoveries / cap:turnovers / cap:counter_proxy,StatsBomb event-derived recoveries/turnovers,post-hoc; no live publish time,blocked_by_no_point_in_time_history,yes_offline_matchclock_gated,live possession-change events,per event,<=60s,live event stream with possession ownership; confirm recovery/turnover definitions,definition-heavy; offline-only until live event stream verified
pressure_counterpress_proxy,cap:pressure / cap:counterpress_proxy,StatsBomb pressure events (proxy),"post-hoc; pressure is a StatsBomb-specific event type, not in API-Football",blocked_by_missing_provider_contract,yes_offline_matchclock_gated,live pressure events (StatsBomb-style) or accepted proxy,per event,<=60s,a provider that emits pressure-type events live; API-Football does not have them,provider-specific event type -> contract-blocked for live
set_pieces,feature_catalog:set_pieces(corners/att_free_kicks),API-Football + StatsBomb set-piece events,"post-hoc counts; corners/FK are discrete, low-latency in most live feeds",blocked_by_latency,yes_offline_matchclock_gated,live corner / free-kick counters,<=1 update / 60s,<=60s,measure live set-piece event latency; these are usually reliable live signals,relatively live-friendly (discrete events); latency just needs measuring
cards_sendings_off,feature_catalog:quality_availability(yellow/sendoff) / cap:cards,API-Football card events (verified available),discrete events with on-field minute; API-Football delivers live but lag unmeasured,potentially_live_with_verified_provider,yes_offline_matchclock_gated,live yellow/red events with minute + player id,per event,<=15s after on-field event,measure live card publication latency; reconcile 2nd-yellow vs straight-red live,high-value low-volume signal; API-Football coverage already verified historically
substitutions,feature_catalog:quality_availability(subs_used) / events:subs,API-Football substitution events (verified available),discrete events; live publish lag unmeasured,potentially_live_with_verified_provider,yes_offline_matchclock_gated,live substitution events with minute + in/out player ids,per event,<=30s after on-field event,measure live sub publication latency; subs sometimes published late vs broadcast,available historically; subs feed quality is the live unknown
lineups_formation,MEMORY apifootball-pro: lineups+benches+player ids+positions+formation verified,"API-Football lineups (verified, 100% on pilot)",published ~T-60min pre-kickoff; effectively point-in-time for pre-match,potentially_live_with_verified_provider,yes_offline_matchclock_gated,confirmed XI + formation at publication time,once pre-match (+ in-play changes),<=publish at T-60; <=60s for in-play role changes,verify live lineup publish time vs kickoff; player plane was an honest NEGATIVE so low ROI,best-covered family; but research showed no pre-match 1X2 gain over Elo
player_availability_keyplayer,MEMORY player_plane: key-availability feature (neutral vs Elo),API-Football lineups + player history,derived from lineups (pre-match point-in-time),potentially_live_with_verified_provider,yes_offline_matchclock_gated,confirmed XI + a player-importance prior computed from strictly-prior matches,once pre-match,<=publish at T-60,leakage-safe player-importance prior; research showed neutral/negative vs Elo,feasible live but unproven value; deprioritized by prior nulls
weather_venue_travel_rest,schemas (venue/weather/travel-rest) from Part-C scaffolding,venues_2026.csv + external weather (not in local validated set),venue static; weather forecast point-in-time; travel/rest deterministic from schedule,blocked_by_no_point_in_time_history,yes_offline_matchclock_gated,as-of weather forecast + confirmed venue + fixture schedule,hourly (weather),forecast as-of kickoff,a point-in-time weather history/forecast source with as-of timestamps; only venue+schedule are locally validated (weather history is NOT in the local validated artifacts),venue/travel deterministic; weather needs an as-of-timestamped source not yet on disk
market_inplay_odds,source_provenance: the_odds_api (pre-match only on hand),The Odds API (pre-match snapshots locally),pre-match snapshot_time<=kickoff; in-play odds NOT in local validated artifacts,blocked_by_no_point_in_time_history,no_local_inplay_history,in-play odds stream with snapshot timestamps,<=1 update / 10s,<=10s,"an in-play odds feed with per-snapshot timestamps; only pre-match odds exist locally, so in-play market features have NO point-in-time history to backtest",market is research-relevant but there is zero local in-play-odds history to validate
prior_strength_quality_priors,feature_catalog:prior_xg_quality / dynamic priors (kickoff-ordered),StatsBomb/API-Football historical aggregated to strictly-prior matches,as-of kickoff date (strictly earlier matches only); inherently point-in-time,historical_research_ready,yes_offline_matchclock_gated,rolling prior built from completed prior matches only,updated per completed match,"n/a (pre-match, no intra-match latency)",none beyond keeping the strictly-prior ordering; already leakage-safe and replayable,"the most live-ready conceptually (pre-match, as-of), but depends on the upstream event feeds it aggregates"
